,20_categories of 2 act_relu,20_categories of 2 baseline,20_categories of 2 bn_no,20_categories of 2 dropout_025,20_categories of 2 dropout_075,20_categories of 2 dropout_0,20_categories of 2 ds_11_31,20_categories of 2 filters_128,20_categories of 2 filters_32,20_categories of 2 filter_3_3,20_categories of 2 filter_7_3,20_categories of 2 layers_2,20_categories of 2 layers_4,20_categories of 2 maxpool_2_2,20_categories of 3 Three_cates,60_categories of 2 baseline
2000-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2000-01-31,1.1238338779166452,1.122517520255408,1.107287518497252,1.1204319261160969,1.072057713842871,1.0903158326657625,1.110035121960688,1.095639325237739,1.08894190882121,1.0853995585969676,1.0974272571449195,1.10761083480877,1.1235087269487574,1.0815727086378653,1.114978674934744,1.0155878748025764
2000-02-29,1.1523917944048776,1.1497556261577868,1.1381609302788394,1.145156997375229,1.1299510091394909,1.1227362632476792,1.1496742989973985,1.140023504785251,1.142569143080518,1.1367921037223032,1.1423432104792308,1.158459297892789,1.1576863714092591,1.1240094264538436,1.1461675858385414,
2000-03-31,1.1010938059409512,1.098629827651274,1.1082632517597175,1.101414048517265,1.101539182196168,1.0813957968670815,1.113786332479722,1.104974255843415,1.1124642176992798,1.0893675315395817,1.104938759771617,1.0997500431856813,1.1196036805141618,1.0823709030871762,1.090629845995506,0.957513998072024
2000-04-28,1.0673222807950826,1.0632222590805818,1.1011573568815376,1.0751314968656556,1.115516136177202,1.0553531496583648,1.0837177220805128,1.101645041666932,1.0829688213367916,1.0760586808763235,1.1045817706176029,1.076150775993584,1.0960329429816138,1.0860159936321645,1.0427765317225277,
2000-05-31,1.1594325421268286,1.154793568576795,1.1782875101796713,1.16423333454915,1.1909354065419724,1.1571828057100857,1.1586052922413597,1.1527972010927154,1.1232231596754585,1.1788696536583487,1.1983522345911306,1.1612949089034317,1.1758436055036423,1.1405356471860089,1.1276124272921575,1.0386611972929145
2000-06-30,1.1542517316344325,1.1512162080523691,1.1906736408182308,1.1596631030765732,1.2179480023392648,1.155729368062416,1.1458939513356163,1.162876149912945,1.1671426383480128,1.1983061609245182,1.2166316352721211,1.1631043033462047,1.193684917064382,1.1540889169206887,1.121388139492484,
2000-07-31,1.210874922021683,1.2085966888510846,1.2634988800796518,1.2211522640415386,1.3074345446221074,1.2241393517699406,1.2014349728723106,1.2370303871237749,1.2326048310812108,1.2742843575025145,1.2794489150304125,1.225801530351165,1.2516426084712984,1.2263212000737962,1.1717863990376738,1.005611512606654
2000-08-31,1.1684872589479185,1.16579872897874,1.2240975850029308,1.1820936412603775,1.2622538411437096,1.180260512358235,1.1637427586299487,1.1871313117191518,1.1885945869811754,1.2418701772282854,1.247886979891658,1.1879979160665937,1.2112235317474074,1.178966143462744,1.1304233004208966,
2000-09-29,1.0823499589478192,1.0788236564444769,1.158268973947545,1.0976984204097175,1.1682664612241995,1.0920862560262956,1.097506757052416,1.1169993572867924,1.099929536841609,1.1592271520782405,1.1793230455117365,1.1004731689644904,1.1210360371650103,1.0986967915064236,1.0471978575195575,0.8649379372780831
2000-10-31,0.9615003038532955,0.9592396183414452,1.035313574269343,0.9820322430998806,1.012081217613482,0.9820940884788788,0.9877709336730298,0.9712408572422716,0.971194429953811,0.9993113187432168,1.0432770445603574,0.99155224006242,1.0072286817015292,0.9601030254818244,0.9393270406999128,
2000-11-30,0.9635151067051642,0.9608652630248404,1.0519553903938978,0.984427899324395,1.0233581740062498,0.9811465325687576,0.9877753080239892,0.9839772901378054,0.9903473211250524,0.999801656597736,1.0542812821225185,0.9980790254166196,1.0114272045789798,0.9734665024867908,0.9402041566572582,0.9177105559739032
2000-12-29,1.260604813075724,1.2560224485799394,1.445002702072142,1.291480157138328,1.6147555866223111,1.3192596025930243,1.252106095297253,1.3723999502902595,1.4376231642108277,1.4502851580172087,1.4988165968300862,1.333099253103704,1.2987455199482525,1.420477514040425,1.1918070759364123,
2001-01-31,1.1496653925163325,1.146174410551536,1.3265725152494423,1.1795649838538769,1.561238362375699,1.20098087476935,1.1405687665565762,1.2463672215196686,1.3732946634554866,1.3432882355146432,1.4025082068982546,1.236035763298195,1.2080564693643832,1.3109616328862508,1.098965870018392,0.8447611200564048
2001-02-28,1.0586609409399856,1.0519052291759388,1.2332011485793262,1.0890067191419512,1.4135834875598707,1.1078691369938567,1.0514183674772737,1.1558520268382868,1.2646952602877255,1.2167949393063724,1.2841173060192883,1.1448894963749532,1.1153809118660754,1.2107289618663415,1.0147326145712685,
